Model,Precision,Recall,F1,ROC_AUC,ConfMatrix
Heuristic(>=58),1.0,1.0,1.0,1.0,"[[16, 0], [0, 54]]"
LogisticRegression,0.7714285714285715,1.0,0.8709677419354839,0.5,"[[0, 16], [0, 54]]"
RandomForest,0.7714285714285715,1.0,0.8709677419354839,0.5,"[[0, 16], [0, 54]]"
XGBoost,0.7714285714285715,1.0,0.8709677419354839,0.5,"[[0, 16], [0, 54]]"
CatBoost,0.7794117647058824,0.9814814814814815,0.8688524590163934,0.5219907407407408,"[[1, 15], [1, 53]]"
Stacking,0.7714285714285715,1.0,0.8709677419354839,0.5,"[[0, 16], [0, 54]]"
